âpåÍ,åªë„ï∂,å√ìT,êîäw,ï®óù,ínäw
31,31,33,59,63,52
72,77,60,50,51,68
34,27,47,34,33,20
44,44,54,43,35,48
58,57,54,45,61,63
35,38,34,18,31,27
62,67,80,77,76,71
40,45,50,56,48,39
41,51,44,47,48,55
58,57,49,60,60,70
35,36,45,53,46,61
26,35,40,57,33,41
59,53,47,61,59,71
65,59,72,53,52,66
28,42,40,42,20,40
31,26,27,37,23,48
38,53,49,35,39,38
44,48,61,43,54,46
54,57,51,68,51,63
63,51,56,55,50,54
42,53,58,73,61,71
51,46,57,44,46,48
48,62,52,57,57,63
50,44,45,35,39,53
65,56,49,58,46,49
73,56,70,44,55,45
30,36,40,45,39,62
42,31,34,32,23,29
42,46,38,50,40,57
69,51,42,57,53,59
63,60,45,81,91,87
81,71,70,82,81,73
56,64,47,51,76,61
58,53,50,64,55,48
51,61,53,62,70,68
34,35,40,30,39,55
37,45,31,44,38,53
55,54,72,58,56,56
65,41,50,47,56,45
47,43,43,56,39,46
54,54,56,25,31,30
48,31,28,57,50,51
57,65,63,67,61,58
36,35,42,48,38,49
36,30,43,55,44,49
46,64,65,27,29,32
46,56,63,34,48,31
60,55,65,51,32,49
56,54,61,76,74,52
57,68,76,64,48,73
61,66,67,46,45,28
48,49,54,49,54,43
43,28,40,60,69,64
48,49,46,50,57,40
56,53,57,45,46,41
38,35,39,43,35,31
28,19,19,55,45,42
43,37,46,59,60,70
46,40,47,36,33,33
50,51,57,54,52,48
40,54,49,54,39,50
83,74,59,75,66,57
39,38,32,51,38,45
59,67,50,48,51,63
49,49,44,50,61,53
45,47,67,66,58,74
65,65,81,59,69,54
41,47,62,44,50,53
52,62,53,70,53,43
29,26,30,27,36,31
50,43,48,60,54,40
69,60,66,56,40,57
39,58,50,50,65,55
39,61,50,51,55,38
52,55,48,22,30,28
28,43,53,39,35,51
30,29,29,31,35,40
65,59,50,45,52,46
27,17,24,45,49,34
11,30,29,40,42,48
46,67,56,41,39,38
65,72,67,65,80,65
30,21,29,49,35,35
52,56,57,68,65,60
63,68,78,54,62,63
40,46,48,67,63,50
50,60,56,54,59,56
48,46,57,38,31,30
55,46,46,37,41,44
28,38,27,39,18,52
47,47,53,48,48,41
49,34,40,20,28,30
35,57,59,32,36,26
58,50,55,58,61,57
41,35,36,46,43,42
71,74,67,55,57,71
24,25,22,23,28,32
34,33,37,47,50,41
74,72,67,49,52,68
64,58,41,70,64,73
57,68,64,42,46,58
53,47,46,47,52,47
60,60,68,48,48,49
56,62,58,47,46,41
66,58,47,43,37,44
41,46,46,39,40,47
77,61,77,49,47,29
49,52,59,55,53,59
42,47,44,42,47,50
62,74,64,53,67,54
91,76,89,68,66,64
76,73,67,70,60,57
40,44,37,40,45,39
32,37,30,48,44,33
59,50,38,59,56,58
30,32,29,30,28,34
51,47,45,47,42,30
53,42,53,37,34,50
15,33,48,57,51,46
66,63,65,57,49,66
66,66,50,59,75,62
41,36,40,55,50,47
34,26,43,39,37,37
69,81,72,41,53,41
34,39,41,45,44,31
62,66,64,47,48,51
52,45,51,37,39,35
37,42,34,52,48,39
54,54,58,47,37,55
69,66,61,51,29,57
31,23,31,60,44,49
58,46,50,20,31,25
44,35,31,37,36,9
35,35,23,43,35,41
36,44,30,53,63,60
50,62,81,45,68,48
37,41,39,44,46,39
45,55,58,43,28,55
21,38,46,30,39,52
63,60,57,56,51,45
48,59,41,33,7,6
51,48,36,23,33,14
37,43,53,52,36,28
45,40,55,72,55,61
56,60,59,65,61,52
51,46,57,25,30,32
46,40,48,62,68,69
41,34,41,46,59,38
45,27,41,37,42,30
54,56,61,46,46,51
74,72,85,66,60,72
44,47,38,30,39,48
57,56,47,67,76,59
55,41,49,28,50,41
31,22,22,32,34,28
55,58,48,28,52,36
43,54,39,33,46,45
45,57,60,64,70,65
38,46,30,45,43,36
91,69,65,72,79,72
41,41,45,45,40,46
63,59,61,61,70,49
66,63,59,50,47,65
55,38,24,67,68,66
68,59,75,44,66,49
52,40,58,62,60,52
47,67,58,60,63,60
46,53,40,35,44,37
69,65,65,49,51,55
74,67,75,58,62,46
62,56,70,65,60,58
51,62,63,75,68,62
75,72,90,59,55,48
76,56,66,49,38,47
74,65,54,63,55,64
65,58,62,27,43,44
50,43,32,44,59,64
64,58,61,51,65,45
37,32,41,15,28,4
41,48,57,59,63,51
57,75,72,83,83,92
35,39,33,27,20,28
